,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
7852,"Chard, swiss, raw",,,,,,,,,,,,,0.4
7853,"Chayote, fruit, cooked, boiled, drained, with salt",,,,,,,,,,,,,0.42
7854,"Chayote, fruit, cooked, boiled, drained, without salt",,,,,,,,,,,,,0.42
7855,"Chayote, fruit, raw",,,,,,,,,,,,,0.47
7856,"Cheese food, cold pack, American",,,,,,,,,,,,,0.074
7857,"Cheese food, pasteurized process, American, vitamin D fortified",,,,,,,,,,,,,0.155
7858,"Cheese food, pasteurized process, American, without added vitamin D",,,,,,,,,,,,,0.155
7859,"Cheese food, pasteurized process, swiss",,,,,,,,,,,,,0.104
7860,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",,,,,,,,,,,,,0.18
7861,"Cheese product, pasteurized process, American, vitamin D fortified",,,,,,,,,,,,,0.17
7862,"Cheese puffs and twists, corn based, baked, low fat",,,,,,,,,,,,,7.14
7863,"Cheese sauce, prepared from recipe",,,,,,,,,,,,,0.204
7864,"Cheese spread, American or Cheddar cheese base, reduced fat",,,,,,,,,,,,,0.153
7865,"Cheese spread, cream cheese base",,,,,,,,,,,,,0.95
7866,"Cheese spread, pasteurized process, American",,,,,,,,,,,,,0.131
7867,"Cheese substitute, mozzarella",,,,,,,,,,,,,0.317
7868,"Cheese, american cheddar, imitation",,,,,,,,,,,,,0.13
7869,"Cheese, American, nonfat or fat free",,,,,,,,,,,,,5.56
7870,"Cheese, blue",,,,,,,,,,,,,1.016
7871,"Cheese, brick",,,,,,,,,,,,,0.118
7872,"Cheese, brie",,,,,,,,,,,,,0.38
7873,"Cheese, camembert",,,,,,,,,,,,,0.63
7874,"Cheese, caraway",,,,,,,,,,,,,0.18
7875,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",,,,,,,,,,,,,0.059
7876,"Cheese, cheddar, nonfat or fat free",,,,,,,,,,,,,0.051
7877,"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)",,,,,,,,,,,,,0.145
7878,"Cheese, cheddar, sharp, sliced",,,,,,,,,,,,,0.039
7879,"Cheese, cheshire",,,,,,,,,,,,,0.08
7880,"Cheese, colby",,,,,,,,,,,,,0.093
7881,"Cheese, cottage, creamed, large or small curd",,,,,,,,,,,,,0.099
7882,"Cheese, cottage, creamed, with fruit",,,,,,,,,,,,,0.15
7883,"Cheese, cottage, lowfat, 1% milkfat",,,,,,,,,,,,,0.128
7884,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",,,,,,,,,,,,,0.13
7885,"Cheese, cottage, lowfat, 1% milkfat, no sodium added",,,,,,,,,,,,,0.13
7886,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",,,,,,,,,,,,,0.1
7887,"Cheese, cottage, lowfat, 2% milkfat",,,,,,,,,,,,,0.103
7888,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",,,,,,,,,,,,,0.144
7889,"Cheese, cottage, with vegetables",,,,,,,,,,,,,0.1
7890,"Cheese, cream",,,,,,,,,,,,,0.091
7891,"Cheese, cream, fat free",,,,,,,,,,,,,0.23
7892,"Cheese, cream, low fat",,,,,,,,,,,,,0.125
7893,"Cheese, dry white, queso seco",,,,,,,,,,,,,0.083
7894,"Cheese, edam",,,,,,,,,,,,,0.082
7895,"Cheese, feta",,,,,,,,,,,,,0.991
7896,"Cheese, fontina",,,,,,,,,,,,,0.15
7897,"Cheese, fresh, queso fresco",,,,,,,,,,,,,0.027
7898,"Cheese, gjetost",,,,,,,,,,,,,0.813
7899,"Cheese, goat, hard type",,,,,,,,,,,,,2.4
7900,"Cheese, goat, semisoft type",,,,,,,,,,,,,1.148
7901,"Cheese, goat, soft type",,,,,,,,,,,,,0.43
7902,"Cheese, gouda",,,,,,,,,,,,,0.063
7903,"Cheese, gruyere",,,,,,,,,,,,,0.106
7904,"Cheese, limburger",,,,,,,,,,,,,0.158
7905,"Cheese, low fat, cheddar or colby",,,,,,,,,,,,,0.051
7906,"Cheese, low-sodium, cheddar or colby",,,,,,,,,,,,,0.086
7907,"Cheese, Mexican blend",,,,,,,,,,,,,0.114
7908,"Cheese, Mexican, blend, reduced fat",,,,,,,,,,,,,0.06
7909,"Cheese, mexican, queso anejo",,,,,,,,,,,,,0.032
7910,"Cheese, mexican, queso asadero",,,,,,,,,,,,,0.181
7911,"Cheese, mexican, queso chihuahua",,,,,,,,,,,,,0.15
7912,"Cheese, mexican, queso cotija",,,,,,,,,,,,,0.114
7913,"Cheese, monterey",,,,,,,,,,,,,0.093
7914,"Cheese, monterey, low fat",,,,,,,,,,,,,0.09
7915,"Cheese, mozzarella, low moisture, part-skim",,,,,,,,,,,,,0.111
7916,"Cheese, mozzarella, low moisture, part-skim, shredded",,,,,,,,,,,,,0.151
7917,"Cheese, mozzarella, low sodium",,,,,,,,,,,,,0.12
7918,"Cheese, mozzarella, nonfat",,,,,,,,,,,,,0.12
7919,"Cheese, mozzarella, part skim milk",,,,,,,,,,,,,0.105
7920,"Cheese, mozzarella, whole milk",,,,,,,,,,,,,0.104
7921,"Cheese, mozzarella, whole milk, low moisture",,,,,,,,,,,,,0.094
7922,"Cheese, muenster",,,,,,,,,,,,,0.103
7923,"Cheese, muenster, low fat",,,,,,,,,,,,,0.1
7924,"Cheese, neufchatel",,,,,,,,,,,,,0.21
7925,"Cheese, parmesan, dry grated, reduced fat",,,,,,,,,,,,,0.114
7926,"Cheese, parmesan, grated",,,,,,,,,,,,,0.08
7927,"Cheese, parmesan, hard",,,,,,,,,,,,,0.271
7928,"Cheese, parmesan, low sodium",,,,,,,,,,,,,0.32
7929,"Cheese, parmesan, shredded",,,,,,,,,,,,,0.287
7930,"Cheese, pasteurized process, American, fortified with vitamin D",,,,,,,,,,,,,0.076
7931,"Cheese, pasteurized process, American, low fat",,,,,,,,,,,,,0.08
7932,"Cheese, pasteurized process, American, without added vitamin D",,,,,,,,,,,,,0.076
7933,"Cheese, pasteurized process, cheddar or American, low sodium",,,,,,,,,,,,,0.07
7934,"Cheese, pasteurized process, pimento",,,,,,,,,,,,,0.078
7935,"Cheese, pasteurized process, swiss",,,,,,,,,,,,,0.038
7936,"Cheese, port de salut",,,,,,,,,,,,,0.06
7937,"Cheese, provolone",,,,,,,,,,,,,0.156
7938,"Cheese, provolone, reduced fat",,,,,,,,,,,,,0.156
7939,"Cheese, ricotta, part skim milk",,,,,,,,,,,,,0.078
7940,"Cheese, ricotta, whole milk",,,,,,,,,,,,,0.137
7941,"Cheese, romano",,,,,,,,,,,,,0.077
7942,"Cheese, roquefort",,,,,,,,,,,,,0.734
7943,"Cheese, swiss",,,,,,,,,,,,,0.064
7944,"Cheese, swiss, low fat",,,,,,,,,,,,,0.09
7945,"Cheese, swiss, low sodium",,,,,,,,,,,,,0.09
7946,"Cheese, Swiss, nonfat or fat free",,,,,,,,,,,,,0.09
7947,"Cheese, tilsit",,,,,,,,,,,,,0.205
7948,"Cheese, white, queso blanco",,,,,,,,,,,,,0.035
7949,"Cheesefurter, cheese smokie, pork, beef",,,,,,,,,,,,,2.9
7950,"Cherimoya, raw",,,,,,,,,,,,,0.644
7951,"Cherries, sour, canned, water pack, drained",,,,,,,,,,,,,0.26
7952,"Cherries, sour, red, canned, extra heavy syrup pack, solids and liquids",,,,,,,,,,,,,0.163
7953,"Cherries, sour, red, canned, heavy syrup pack, solids and liquids",,,,,,,,,,,,,0.168
7954,"Cherries, sour, red, canned, light syrup pack, solids and liquids",,,,,,,,,,,,,0.17
7955,"Cherries, sour, red, canned, water pack, solids and liquids",,,,,,,,,,,,,0.177
7956,"Cherries, sour, red, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",,,,,,,,,,,,,0.137
7957,"Cherries, sour, red, raw",,,,,,,,,,,,,0.4
7958,"Cherries, sweet, canned, extra heavy syrup pack, solids and liquids",,,,,,,,,,,,,0.388
7959,"Cherries, sweet, canned, juice pack, solids and liquids",,,,,,,,,,,,,0.406
7960,"Cherries, sweet, canned, light syrup pack, solids and liquids",,,,,,,,,,,,,0.403
7961,"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",,,,,,,,,,,,,0.396
7962,"Cherries, sweet, canned, pitted, heavy syrup, drained",,,,,,,,,,,,,0.396
7963,"Cherries, sweet, canned, water pack, solids and liquids",,,,,,,,,,,,,0.41
7964,"Cherries, sweet, raw",,,,,,,,,,,,,0.154
7965,"Cherries, tart, dried, sweetened (Includes foods for USDA's Food Distribution Program)",,,,,,,,,,,,,0.867
7966,"CHICK-FIL-A, Chick-n-Strips",,,,,,,,,,,,,8.763
7967,"CHICK-FIL-A, chicken sandwich",,,,,,,,,,,,,7.72
7968,"CHICK-FIL-A, hash browns",,,,,,,,,,,,,2.407
7969,"Chicken breast tenders, breaded, cooked, microwaved",,,,,,,,,,,,,6.514
7970,"Chicken breast tenders, breaded, uncooked",,,,,,,,,,,,,5.71
7971,"Chicken breast, deli, rotisserie seasoned, sliced, prepackaged",,,,,,,,,,,,,9.055
7972,"Chicken breast, fat-free, mesquite flavor, sliced",,,,,,,,,,,,,2.742
7973,"Chicken breast, oven-roasted, fat-free, sliced",,,,,,,,,,,,,3.428
7974,"Chicken breast, roll, oven-roasted",,,,,,,,,,,,,6.536
7975,"Chicken patty, frozen, cooked",,,,,,,,,,,,,4.764
7976,"Chicken patty, frozen, uncooked",,,,,,,,,,,,,6.63
7977,"Chicken pot pie, frozen entree, prepared",,,,,,,,,,,,,1.871
7978,Chicken spread,,,,,,,,,,,,,2.748
7979,"Chicken tenders, breaded, frozen, prepared",,,,,,,,,,,,,5.917
7980,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",,,,,,,,,,,,,9.45
7981,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled",,,,,,,,,,,,,12.133
7982,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",,,,,,,,,,,,,9.6
7983,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, braised",,,,,,,,,,,,,9.173
7984,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, grilled",,,,,,,,,,,,,11.067
7985,"Chicken, broiler, rotisserie, BBQ, back meat only",,,,,,,,,,,,,5.175
7986,"Chicken, broiler, rotisserie, BBQ, back, meat and skin",,,,,,,,,,,,,5.621
7987,"Chicken, broiler, rotisserie, BBQ, breast, meat and skin",,,,,,,,,,,,,9.303
7988,"Chicken, broiler, rotisserie, BBQ, breast, meat only",,,,,,,,,,,,,9.634
7989,"Chicken, broiler, rotisserie, BBQ, drumstick, meat and skin",,,,,,,,,,,,,5.966
7990,"Chicken, broiler, rotisserie, BBQ, drumstick, meat only",,,,,,,,,,,,,5.745
7991,"Chicken, broiler, rotisserie, BBQ, skin",,,,,,,,,,,,,7.082
7992,"Chicken, broiler, rotisserie, BBQ, thigh, meat and skin",,,,,,,,,,,,,5.732
7993,"Chicken, broiler, rotisserie, BBQ, thigh, meat only",,,,,,,,,,,,,5.441
7994,"Chicken, broiler, rotisserie, BBQ, wing, meat and skin",,,,,,,,,,,,,7.454
7995,"Chicken, broiler, rotisserie, BBQ, wing, meat only",,,,,,,,,,,,,7.676
7996,"Chicken, broilers or fryers,  rotisserie, original seasoning, drumstick, meat and skin, cooked",,,,,,,,,,,,,5.921
7997,"Chicken, broilers or fryers, back, meat and skin, cooked, fried, batter",,,,,,,,,,,,,5.837
7998,"Chicken, broilers or fryers, back, meat and skin, cooked, fried, flour",,,,,,,,,,,,,7.297
7999,"Chicken, broilers or fryers, back, meat and skin, cooked, roasted",,,,,,,,,,,,,6.718
8000,"Chicken, broilers or fryers, back, meat and skin, cooked, stewed",,,,,,,,,,,,,4.343
8001,"Chicken, broilers or fryers, back, meat and skin, raw",,,,,,,,,,,,,4.835
8002,"Chicken, broilers or fryers, back, meat only, cooked, fried",,,,,,,,,,,,,7.68
8003,"Chicken, broilers or fryers, back, meat only, cooked, roasted",,,,,,,,,,,,,7.069
8004,"Chicken, broilers or fryers, back, meat only, cooked, stewed",,,,,,,,,,,,,4.556
8005,"Chicken, broilers or fryers, back, meat only, raw",,,,,,,,,,,,,6.672
8006,"Chicken, broilers or fryers, breast, meat and skin, cooked, fried, batter",,,,,,,,,,,,,10.523
8007,"Chicken, broilers or fryers, breast, meat and skin, cooked, fried, flour",,,,,,,,,,,,,13.742
8008,"Chicken, broilers or fryers, breast, meat and skin, cooked, roasted",,,,,,,,,,,,,12.71
8009,"Chicken, broilers or fryers, breast, meat and skin, cooked, stewed",,,,,,,,,,,,,7.807
8010,"Chicken, broilers or fryers, breast, meat and skin, raw",,,,,,,,,,,,,9.908
8011,"Chicken, broilers or fryers, breast, meat only, cooked, fried",,,,,,,,,,,,,14.782
8012,"Chicken, broilers or fryers, breast, meat only, cooked, roasted",,,,,,,,,,,,,13.712
8013,"Chicken, broilers or fryers, breast, meat only, cooked, stewed",,,,,,,,,,,,,8.469
8014,"Chicken, broilers or fryers, breast, skinless, boneless, meat only, with added solution, raw",,,,,,,,,,,,,7.583
8015,"Chicken, broilers or fryers, dark meat, drumstick, meat and skin, cooked, braised",,,,,,,,,,,,,4.832
8016,"Chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, braised",,,,,,,,,,,,,5.046
8017,"Chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, roasted",,,,,,,,,,,,,5.598
8018,"Chicken, broilers or fryers, dark meat, drumstick, meat only, raw",,,,,,,,,,,,,5.198
8019,"Chicken, broilers or fryers, dark meat, meat and skin, cooked, fried, batter",,,,,,,,,,,,,5.607
8020,"Chicken, broilers or fryers, dark meat, meat and skin, cooked, fried, flour",,,,,,,,,,,,,6.842
8021,"Chicken, broilers or fryers, dark meat, meat and skin, cooked, roasted",,,,,,,,,,,,,6.359
8022,"Chicken, broilers or fryers, dark meat, meat and skin, cooked, stewed",,,,,,,,,,,,,4.513
8023,"Chicken, broilers or fryers, dark meat, meat and skin, raw",,,,,,,,,,,,,5.211
8024,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",,,,,,,,,,,,,7.07
8025,"Chicken, broilers or fryers, dark meat, meat only, cooked, roasted",,,,,,,,,,,,,6.548
8026,"Chicken, broilers or fryers, dark meat, meat only, cooked, stewed",,,,,,,,,,,,,4.737
8027,"Chicken, broilers or fryers, dark meat, meat only, raw",,,,,,,,,,,,,6.246
8028,"Chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised",,,,,,,,,,,,,5.276
8029,"Chicken, broilers or fryers, dark meat, thigh, meat only, cooked, braised",,,,,,,,,,,,,5.742
8030,"Chicken, broilers or fryers, dark meat, thigh, meat only, raw",,,,,,,,,,,,,5.557
8031,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, fried, batter",,,,,,,,,,,,,5.096
8032,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, fried, flour",,,,,,,,,,,,,6.037
8033,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, roasted",,,,,,,,,,,,,5.403
8034,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, stewed",,,,,,,,,,,,,4.204
8035,"Chicken, broilers or fryers, drumstick, meat and skin, raw",,,,,,,,,,,,,4.841
8036,"Chicken, broilers or fryers, drumstick, meat only, cooked, fried",,,,,,,,,,,,,6.146
8037,"Chicken, broilers or fryers, drumstick, meat only, cooked, stewed",,,,,,,,,,,,,4.3
8038,"Chicken, broilers or fryers, drumstick, rotisserie, original seasoning, meat only, cooked",,,,,,,,,,,,,5.958
8039,"Chicken, broilers or fryers, giblets, cooked, fried",,,,,,,,,,,,,10.987
8040,"Chicken, broilers or fryers, giblets, cooked, simmered",,,,,,,,,,,,,6.625
8041,"Chicken, broilers or fryers, giblets, raw",,,,,,,,,,,,,6.662
8042,"Chicken, broilers or fryers, leg, meat and skin, cooked, fried, batter",,,,,,,,,,,,,5.433
8043,"Chicken, broilers or fryers, leg, meat and skin, cooked, fried, flour",,,,,,,,,,,,,6.546
8044,"Chicken, broilers or fryers, leg, meat and skin, cooked, roasted",,,,,,,,,,,,,6.034
8045,"Chicken, broilers or fryers, leg, meat and skin, cooked, stewed",,,,,,,,,,,,,4.59
8046,"Chicken, broilers or fryers, leg, meat and skin, raw",,,,,,,,,,,,,4.733
8047,"Chicken, broilers or fryers, leg, meat only, cooked, fried",,,,,,,,,,,,,6.688
8048,"Chicken, broilers or fryers, leg, meat only, cooked, roasted",,,,,,,,,,,,,6.053
8049,"Chicken, broilers or fryers, leg, meat only, cooked, stewed",,,,,,,,,,,,,4.798
8050,"Chicken, broilers or fryers, leg, meat only, raw",,,,,,,,,,,,,5.578
8051,"Chicken, broilers or fryers, light meat, meat and skin, cooked, fried, batter",,,,,,,,,,,,,9.156
8052,"Chicken, broilers or fryers, light meat, meat and skin, cooked, fried, flour",,,,,,,,,,,,,12.035
8053,"Chicken, broilers or fryers, light meat, meat and skin, cooked, roasted",,,,,,,,,,,,,11.134
8054,"Chicken, broilers or fryers, light meat, meat and skin, cooked, stewed",,,,,,,,,,,,,6.935
8055,"Chicken, broilers or fryers, light meat, meat and skin, raw",,,,,,,,,,,,,8.908
8056,"Chicken, broilers or fryers, light meat, meat only, cooked, fried",,,,,,,,,,,,,13.365
8057,"Chicken, broilers or fryers, light meat, meat only, cooked, roasted",,,,,,,,,,,,,12.421
8058,"Chicken, broilers or fryers, light meat, meat only, cooked, stewed",,,,,,,,,,,,,7.79
8059,"Chicken, broilers or fryers, light meat, meat only, raw",,,,,,,,,,,,,10.604
8060,"Chicken, broilers or fryers, meat and skin and giblets and neck, cooked, fried, batter",,,,,,,,,,,,,7.083
8061,"Chicken, broilers or fryers, meat and skin and giblets and neck, cooked, fried, flour",,,,,,,,,,,,,8.93
8062,"Chicken, broilers or fryers, meat and skin and giblets and neck, raw",,,,,,,,,,,,,6.639
8063,"Chicken, broilers or fryers, meat and skin and giblets and neck, roasted",,,,,,,,,,,,,7.908
8064,"Chicken, broilers or fryers, meat and skin and giblets and neck, stewed",,,,,,,,,,,,,5.389
8065,"Chicken, broilers or fryers, meat and skin, cooked, fried, batter",,,,,,,,,,,,,7.043
8066,"Chicken, broilers or fryers, meat and skin, cooked, fried, flour",,,,,,,,,,,,,8.992
8067,"Chicken, broilers or fryers, meat and skin, cooked, roasted",,,,,,,,,,,,,8.487
8068,"Chicken, broilers or fryers, meat and skin, cooked, stewed",,,,,,,,,,,,,5.594
8069,"Chicken, broilers or fryers, meat and skin, raw",,,,,,,,,,,,,6.801
8070,"Chicken, broilers or fryers, meat only, cooked, fried",,,,,,,,,,,,,9.663
8071,"Chicken, broilers or fryers, meat only, cooked, roasted",,,,,,,,,,,,,9.173
8072,"Chicken, broilers or fryers, meat only, cooked, stewed",,,,,,,,,,,,,6.117
8073,"Chicken, broilers or fryers, meat only, raw",,,,,,,,,,,,,8.239
8074,"Chicken, broilers or fryers, neck, meat and skin, cooked simmered",,,,,,,,,,,,,3.319
8075,"Chicken, broilers or fryers, neck, meat and skin, cooked, fried, batter",,,,,,,,,,,,,4.528
8076,"Chicken, broilers or fryers, neck, meat and skin, cooked, fried, flour",,,,,,,,,,,,,5.348
8077,"Chicken, broilers or fryers, neck, meat and skin, raw",,,,,,,,,,,,,3.608
8078,"Chicken, broilers or fryers, neck, meat only, cooked, fried",,,,,,,,,,,,,5.027
8079,"Chicken, broilers or fryers, neck, meat only, cooked, simmered",,,,,,,,,,,,,3.956
8080,"Chicken, broilers or fryers, neck, meat only, raw",,,,,,,,,,,,,4.119
8081,"Chicken, broilers or fryers, rotisserie, original seasoning, back, meat and skin, cooked",,,,,,,,,,,,,5.928
8082,"Chicken, broilers or fryers, rotisserie, original seasoning, back, meat only, cooked",,,,,,,,,,,,,6.0
8083,"Chicken, broilers or fryers, rotisserie, original seasoning, breast, meat and skin, cooked",,,,,,,,,,,,,9.397
8084,"Chicken, broilers or fryers, rotisserie, original seasoning, breast, meat only, cooked",,,,,,,,,,,,,9.233
8085,"Chicken, broilers or fryers, rotisserie, original seasoning, skin only, cooked",,,,,,,,,,,,,5.737
8086,"Chicken, broilers or fryers, rotisserie, original seasoning, thigh, meat and skin, cooked",,,,,,,,,,,,,5.487
8087,"Chicken, broilers or fryers, rotisserie, original seasoning, thigh, meat only, cooked",,,,,,,,,,,,,5.433
8088,"Chicken, broilers or fryers, rotisserie, original seasoning, wing, meat and skin, cooked",,,,,,,,,,,,,6.912
8089,"Chicken, broilers or fryers, rotisserie, original seasoning, wing, meat only, cooked",,,,,,,,,,,,,7.5
8090,"Chicken, broilers or fryers, separable fat, raw",,,,,,,,,,,,,2.041
8091,"Chicken, broilers or fryers, skin only, cooked, fried, batter",,,,,,,,,,,,,3.342
8092,"Chicken, broilers or fryers, skin only, cooked, fried, flour",,,,,,,,,,,,,5.818
8093,"Chicken, broilers or fryers, skin only, cooked, roasted",,,,,,,,,,,,,5.581
8094,"Chicken, broilers or fryers, skin only, cooked, stewed",,,,,,,,,,,,,3.756
8095,"Chicken, broilers or fryers, skin only, raw",,,,,,,,,,,,,3.987
8096,"Chicken, broilers or fryers, thigh, meat and skin, cooked, fried, batter",,,,,,,,,,,,,5.715
8097,"Chicken, broilers or fryers, thigh, meat and skin, cooked, fried, flour",,,,,,,,,,,,,6.946
8098,"Chicken, broilers or fryers, thigh, meat and skin, cooked, roasted",,,,,,,,,,,,,5.789
8099,"Chicken, broilers or fryers, thigh, meat and skin, cooked, stewed",,,,,,,,,,,,,4.894
8100,"Chicken, broilers or fryers, thigh, meat and skin, raw",,,,,,,,,,,,,4.625
8101,"Chicken, broilers or fryers, thigh, meat only, cooked, fried",,,,,,,,,,,,,7.12
8102,"Chicken, broilers or fryers, thigh, meat only, cooked, roasted",,,,,,,,,,,,,6.208
8103,"Chicken, broilers or fryers, thigh, meat only, cooked, stewed",,,,,,,,,,,,,5.2
8104,"Chicken, broilers or fryers, wing, meat and skin, cooked, fried, batter",,,,,,,,,,,,,5.265
8105,"Chicken, broilers or fryers, wing, meat and skin, cooked, fried, flour",,,,,,,,,,,,,6.697
8106,"Chicken, broilers or fryers, wing, meat and skin, cooked, roasted",,,,,,,,,,,,,6.32
8107,"Chicken, broilers or fryers, wing, meat and skin, cooked, stewed",,,,,,,,,,,,,4.621
8108,"Chicken, broilers or fryers, wing, meat and skin, raw",,,,,,,,,,,,,5.697
8109,"Chicken, broilers or fryers, wing, meat only, cooked, fried",,,,,,,,,,,,,7.239
8110,"Chicken, broilers or fryers, wing, meat only, cooked, roasted",,,,,,,,,,,,,7.312
8111,"Chicken, broilers or fryers, wing, meat only, cooked, stewed",,,,,,,,,,,,,5.2
8112,"Chicken, broilers or fryers, wing, meat only, raw",,,,,,,,,,,,,7.359
8113,"Chicken, canned, meat only, with broth",,,,,,,,,,,,,6.329
8114,"Chicken, canned, no broth",,,,,,,,,,,,,2.4
8115,"Chicken, capons, giblets, cooked, simmered",,,,,,,,,,,,,4.12
8116,"Chicken, capons, giblets, raw",,,,,,,,,,,,,6.984
8117,"Chicken, capons, meat and skin and giblets and neck, cooked, roasted",,,,,,,,,,,,,8.415
8118,"Chicken, capons, meat and skin and giblets and neck, raw",,,,,,,,,,,,,7.074
8119,"Chicken, capons, meat and skin, cooked, roasted",,,,,,,,,,,,,8.947
8120,"Chicken, capons, meat and skin, raw",,,,,,,,,,,,,7.273
8121,"Chicken, cornish game hens, meat and skin, cooked, roasted",,,,,,,,,,,,,5.897
8122,"Chicken, cornish game hens, meat and skin, raw",,,,,,,,,,,,,5.675
8123,"Chicken, cornish game hens, meat only, cooked, roasted",,,,,,,,,,,,,6.273
8124,"Chicken, cornish game hens, meat only, raw",,,,,,,,,,,,,6.744
8125,"Chicken, dark meat, drumstick, meat and skin, with added solution, cooked, braised",,,,,,,,,,,,,4.832
8126,"Chicken, dark meat, drumstick, meat and skin, with added solution, cooked, roasted",,,,,,,,,,,,,5.684
8127,"Chicken, dark meat, drumstick, meat and skin, with added solution, raw",,,,,,,,,,,,,4.612
8128,"Chicken, dark meat, drumstick, meat only, with added solution, cooked, braised",,,,,,,,,,,,,5.07
8129,"Chicken, dark meat, drumstick, meat only, with added solution, cooked, roasted",,,,,,,,,,,,,5.913
8130,"Chicken, dark meat, drumstick, meat only, with added solution, raw",,,,,,,,,,,,,4.94
8131,"Chicken, dark meat, thigh, meat and skin, with added solution, cooked, braised",,,,,,,,,,,,,5.679
8132,"Chicken, dark meat, thigh, meat and skin, with added solution, cooked, roasted",,,,,,,,,,,,,5.898
8133,"Chicken, dark meat, thigh, meat and skin, with added solution, raw",,,,,,,,,,,,,4.458
8134,"Chicken, dark meat, thigh, meat only, with added solution, cooked, braised",,,,,,,,,,,,,6.33
8135,"Chicken, dark meat, thigh, meat only, with added solution, cooked, roasted",,,,,,,,,,,,,6.343
8136,"Chicken, dark meat, thigh, meat only, with added solution, raw",,,,,,,,,,,,,5.3
8137,"Chicken, feet, boiled",,,,,,,,,,,,,0.4
8138,"Chicken, gizzard, all classes, cooked, simmered",,,,,,,,,,,,,3.12
8139,"Chicken, gizzard, all classes, raw",,,,,,,,,,,,,3.68
8140,"Chicken, ground, crumbles, cooked, pan-browned",,,,,,,,,,,,,7.107
8141,"Chicken, ground, raw",,,,,,,,,,,,,5.575
8142,"Chicken, heart, all classes, cooked, simmered",,,,,,,,,,,,,2.803
8143,"Chicken, heart, all classes, raw",,,,,,,,,,,,,4.883
8144,"Chicken, liver, all classes, cooked, pan-fried",,,,,,,,,,,,,13.925
8145,"Chicken, liver, all classes, cooked, simmered",,,,,,,,,,,,,11.045
8146,"Chicken, liver, all classes, raw",,,,,,,,,,,,,9.728
8147,"Chicken, meatless",,,,,,,,,,,,,1.454
8148,"Chicken, meatless, breaded, fried",,,,,,,,,,,,,12.766
8149,"Chicken, nuggets, dark and white meat, precooked, frozen, not reheated",,,,,,,,,,,,,3.275
8150,"Chicken, nuggets, white meat, precooked, frozen, not reheated",,,,,,,,,,,,,6.736
8151,"Chicken, roasting, dark meat, meat only, cooked, roasted",,,,,,,,,,,,,5.736
8152,"Chicken, roasting, dark meat, meat only, raw",,,,,,,,,,,,,5.878
8153,"Chicken, roasting, giblets, cooked, simmered",,,,,,,,,,,,,4.032
8154,"Chicken, roasting, giblets, raw",,,,,,,,,,,,,6.208
